term_name,Group,QC
nitrogen catabolite activation of transcription,gene regulation,0.492
nitrogen catabolite activation of transcription from RNA polymerase II promoter,gene regulation,0.616
nitrogen catabolite regulation of transcription,gene regulation,0.48
nitrogen catabolite regulation of transcription from RNA polymerase II promoter,gene regulation,0.488
nitrogen compound metabolic process,metabolic process,0.686
nitrogen cycle metabolic process,metabolic process,0.37
nitrogen utilization,immune system process,0.18
nitroglycerin reductase activity,metabolic process,0.508
nociceptin receptor activity,cellular component organization,0.196
nodal binding,protein modification/signaling,0.336
nodal signaling pathway,receptor related process,0.49
node of Ranvier,neural related process,0.266
non-canonical NF-kappaB signal transduction,immune system process,0.37
non-canonical Wnt signaling pathway involved in heart development,receptor related process,0.326
non-canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,receptor related process,0.346
non-canonical Wnt signaling pathway via JNK cascade,receptor related process,0.44
non-canonical inflammasome complex,cellular component organization,0.36
non-canonical inflammasome complex assembly,cellular component organization,0.694
non-lytic viral release,viral related process,0.496
non-membrane spanning protein tyrosine phosphatase activity,metabolic process,0.514
non-membrane-bounded organelle,cellular component organization,0.318
non-motile cilium,cellular component organization,0.484
non-replicative DNA transposition,cellular component organization,0.236
non-ribosomal peptide synthetase activity,metabolic process,0.528
"non-sequence-specific DNA binding, bending",cell cycle,0.21
nonassociative learning,neural related process,0.32
nonfunctional rRNA decay,metabolic process,0.24
nonhomologous end joining complex,metabolic process,0.208
nor-spermidine metabolic process,metabolic process,0.958
noradrenergic neuron development,morphogenesis/development,0.626
noradrenergic neuron differentiation,morphogenesis/development,0.728
noradrenergic neuron fate commitment,morphogenesis/development,0.536
norepinephrine binding,metabolic process,0.246
norepinephrine biosynthetic process,metabolic process,0.712
norepinephrine metabolic process,metabolic process,0.884
norepinephrine secretion,transport,0.528
norepinephrine transport,transport,0.744
norepinephrine uptake,neural related process,0.316
norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure,multicellular organismal process,0.188
norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure,multicellular organismal process,0.206
norepinephrine:sodium symporter activity,metabolic process,0.512
norspermine:oxygen oxidoreductase activity,metabolic process,0.902
nose development,morphogenesis/development,0.888
nose morphogenesis,morphogenesis/development,0.568
notochord cell development,morphogenesis/development,0.972
notochord cell differentiation,morphogenesis/development,0.752
notochord development,morphogenesis/development,0.958
notochord formation,morphogenesis/development,0.288
notochord morphogenesis,morphogenesis/development,0.704
notochord regression,morphogenesis/development,0.542
npBAF complex,gene regulation,0.228
nuclear DNA replication termination,cell cycle,0.652
nuclear DNA-directed RNA polymerase complex,gene regulation,0.496
nuclear RNA export factor complex,transport,0.284
nuclear RNA surveillance,gene regulation,0.606
nuclear RNA-directed RNA polymerase complex,gene regulation,0.42
nuclear aryl hydrocarbon receptor complex,receptor related process,0.37
nuclear body organization,cellular component organization,0.882
nuclear cap binding complex,gene regulation,0.424
nuclear cell cycle DNA replication initiation,cell cycle,0.698
nuclear chromosome,cell cycle,0.404
nuclear cyclin-dependent protein kinase holoenzyme complex,protein modification/signaling,0.372
nuclear envelope budding,cellular component organization,0.452
nuclear envelope lumen,cellular component organization,0.24
nuclear estrogen receptor activity,receptor related process,0.582
nuclear estrogen receptor binding,receptor related process,0.444
nuclear exosome (RNase complex),gene regulation,0.308
nuclear export signal receptor activity,transport,0.3
nuclear fragmentation involved in apoptotic nuclear change,cell death,0.35
nuclear glucocorticoid receptor activity,receptor related process,0.58
nuclear histone mRNA catabolic process,metabolic process,0.596
nuclear import signal receptor activity,transport,0.348
nuclear inner membrane,cellular component organization,0.256
nuclear inner membrane organization,cellular component organization,0.746
nuclear lamina,cellular component organization,0.334
nuclear localization sequence binding,transport,0.256
nuclear lumen,cell cycle,0.19
nuclear mRNA surveillance,gene regulation,0.616
nuclear mRNA surveillance of mRNA 3'-end processing,cellular component organization,0.18
